category,source_name,url,local_path,status,size_bytes,note
stage_sheet,Spriters Resource Stage 32,https://www.spriters-resource.com/nes/batcity/asset/140658/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-32-sheet.png,present,3489,
stage_sheet,Spriters Resource Stage 33,https://www.spriters-resource.com/nes/batcity/asset/140659/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-33-sheet.png,present,3843,
stage_sheet,Spriters Resource Stage 34,https://www.spriters-resource.com/nes/batcity/asset/140660/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-34-sheet.png,present,3454,
stage_sheet,Spriters Resource Stage 35,https://www.spriters-resource.com/nes/batcity/asset/140661/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-35-sheet.png,present,3785,
stage_sheet,Spriters Resource Stage 71,https://www.spriters-resource.com/nes/batcity/asset/140662/,04-stage-tiles-maps/spriters-resource-stage-sheets/battle-city-stage-71-sheet.png,present,2503,
stage_map,VGMaps Stage 1,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage1.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-01-map.png,present,922,
stage_map,VGMaps Stage 2,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage2.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-02-map.png,present,1396,
stage_map,VGMaps Stage 3,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage3.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-03-map.png,present,1514,
stage_map,VGMaps Stage 4,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage4.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-04-map.png,present,1627,
stage_map,VGMaps Stage 5,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage5.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-05-map.png,present,1442,
stage_map,VGMaps Stage 6,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage6.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-06-map.png,present,1719,
stage_map,VGMaps Stage 7,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage7.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-07-map.png,present,1324,
stage_map,VGMaps Stage 8,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage8.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-08-map.png,present,1666,
stage_map,VGMaps Stage 9,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage9.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-09-map.png,present,1422,
stage_map,VGMaps Stage 10,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage10.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-10-map.png,present,1564,
stage_map,VGMaps Stage 11,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage11.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-11-map.png,present,1554,
stage_map,VGMaps Stage 12,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage12.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-12-map.png,present,1474,
stage_map,VGMaps Stage 13,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage13.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-13-map.png,present,1520,
stage_map,VGMaps Stage 14,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage14.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-14-map.png,present,1350,
stage_map,VGMaps Stage 15,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage15.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-15-map.png,present,1772,
stage_map,VGMaps Stage 16,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage16.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-16-map.png,present,1422,
stage_map,VGMaps Stage 17,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage17.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-17-map.png,present,1659,
stage_map,VGMaps Stage 18,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage18.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-18-map.png,present,1424,
stage_map,VGMaps Stage 19,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage19.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-19-map.png,present,1416,
stage_map,VGMaps Stage 20,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage20.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-20-map.png,present,1734,
stage_map,VGMaps Stage 21,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage21.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-21-map.png,present,1363,
stage_map,VGMaps Stage 22,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage22.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-22-map.png,present,1452,
stage_map,VGMaps Stage 23,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage23.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-23-map.png,present,1247,
stage_map,VGMaps Stage 24,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage24.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-24-map.png,present,1572,
